codgr	libgr	sougr	libsougr	codal	libal	libgren	libsougren	codsougr
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	23883	beignet fourré aux fruits	cake and pastry	doughnut crepe waffle	83
8	pâtisseries et gâteaux	3	beignets, crêpes et gaufres	39236	pain perdu	cake and pastry	doughnut crepe waffle	83
9	lait	1	lait en bouteille ou en brique	19011	lait de croissance infantile	milk	bottled milk	91
9	lait	1	lait en bouteille ou en brique	19023	lait entier uht	milk	bottled milk	91
9	lait	1	lait en bouteille ou en brique	19024	lait entier pasteurisé	milk	bottled milk	91
9	lait	1	lait en bouteille ou en brique	19041	lait demi-écrémé uht	milk	bottled milk	91
9	lait	1	lait en bouteille ou en brique	19042	lait demi-écrémé pasteurisé	milk	bottled milk	91
9	lait	1	lait en bouteille ou en brique	19044	lait demi-écrémé en poudre	milk	bottled milk	91
9	lait	1	lait en bouteille ou en brique	19045	lait demi-écrémé uht à teneur garantie en vitamines	milk	bottled milk	91
9	lait	1	lait en bouteille ou en brique	19046	lait demi-écrémé uht à teneur garantie en protéines et vitamines enrichi en miné	milk	bottled milk	91
9	lait	1	lait en bouteille ou en brique	19050	lait écrémé uht	milk	bottled milk	91
9	lait	1	lait en bouteille ou en brique	19055	lait écrémé uht à teneur garantie en vitamines	milk	bottled milk	91
9	lait	2	lait aromatisé	19110	lait demi-écrémé aromatisé	milk	flavoured milk	92
9	lait	2	lait aromatisé	19122	lait demi-écrémé aromatisé au chocolat	milk	flavoured milk	92
9	lait	2	lait aromatisé	19127	lait demi-écrémé aromatisé à la fraise	milk	flavoured milk	92
9	lait	2	lait aromatisé	39000	milk-shake sans précision	milk	flavoured milk	92
9	lait	3	lait concentré ou en poudre	19021	lait entier en poudre	milk	condensed milk	93
9	lait	3	lait concentré ou en poudre	19026	lait entier concentré non sucré	milk	condensed milk	93
9	lait	3	lait concentré ou en poudre	19027	lait entier concentré sucré	milk	condensed milk	93
9	lait	3	lait concentré ou en poudre	19054	lait écrémé en poudre	milk	condensed milk	93
9	lait	4	autre lait	19200	lait de chèvre entier uht	milk	other milk	94
9	lait	4	autre lait	39400	lait de poule sans alcool	milk	other milk	94
9	lait	4	autre lait	92511	autre lait	milk	other milk	94
10	ultra-frais laitier	1	crème fraîche	19401	crème fraîche ou crème de lait fluide au moins 30% m.g. rayon frais	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	19402	crème fraîche ou crème de lait sans précision	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	19410	crème fraîche ou crème de lait épaisse au moins 30% m.g. rayon frais	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	19415	crème fraîche ou crème de lait fluide au moins 30% m.g. uht	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	19420	crème chantilly sucrée sous pression uht	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	19430	crème fraîche ou crème de lait fluide allégée 15 à 20% m.g. uht	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	19431	crème fraîche ou crème de lait épaisse allégée 15 à 20% m.g. rayon frais	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	19433	spécialité à base de crème légère 8% m.g. type crème fluide ou épaisse	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	81000	crème fraîche allégée ajoutée au service	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	81001	crème fraîche allégée ajoutée à la cuisson	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	81002	crème fraîche non allégée ajoutée au service	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	1	crème fraîche	81003	crème fraîche non allégée ajoutée à la cuisson	ultra fresh dairy	fresh cream	101
10	ultra-frais laitier	2	yaourts et assimilés	19600	yaourt ou spécialité laitière nature	ultra fresh dairy	yoghurt	102
