,Unnamed: 0,codgr,libgr,sougr,libsougr,codal,libal,libgren,libsougren,codsougr,codgr_,sougr_,codal_,codsougr_
157,157,9,lait,1,lait en bouteille ou en brique,19024,lait entier pasteurisé,milk,bottled milk,91,9,1921,921319024,921
158,158,9,lait,1,lait en bouteille ou en brique,19041,lait demi-écrémé uht,milk,bottled milk,91,9,1921,921319041,921
159,159,9,lait,1,lait en bouteille ou en brique,19042,lait demi-écrémé pasteurisé,milk,bottled milk,91,9,1921,921319042,921
160,160,9,lait,1,lait en bouteille ou en brique,19044,lait demi-écrémé en poudre,milk,bottled milk,91,9,1921,921319044,921
161,161,9,lait,1,lait en bouteille ou en brique,19045,lait demi-écrémé uht à teneur garantie en vitamines,milk,bottled milk,91,9,1921,921319045,921
162,162,9,lait,1,lait en bouteille ou en brique,19046,lait demi-écrémé uht à teneur garantie en protéines et vitamines enrichi en miné,milk,bottled milk,91,9,1921,921319046,921
163,163,9,lait,1,lait en bouteille ou en brique,19050,lait écrémé uht,milk,bottled milk,91,9,1921,921319050,921
164,164,9,lait,1,lait en bouteille ou en brique,19055,lait écrémé uht à teneur garantie en vitamines,milk,bottled milk,91,9,1921,921319055,921
165,165,9,lait,2,lait aromatisé,19110,lait demi-écrémé aromatisé,milk,flavoured milk,92,9,1922,922319110,922
166,166,9,lait,2,lait aromatisé,19122,lait demi-écrémé aromatisé au chocolat,milk,flavoured milk,92,9,1922,922319122,922
167,167,9,lait,2,lait aromatisé,19127,lait demi-écrémé aromatisé à la fraise,milk,flavoured milk,92,9,1922,922319127,922
168,168,9,lait,2,lait aromatisé,39000,milk-shake sans précision,milk,flavoured milk,92,9,1922,922339000,922
169,169,9,lait,3,lait concentré ou en poudre,19021,lait entier en poudre,milk,condensed milk,93,9,1923,923319021,923
170,170,9,lait,3,lait concentré ou en poudre,19026,lait entier concentré non sucré,milk,condensed milk,93,9,1923,923319026,923
171,171,9,lait,3,lait concentré ou en poudre,19027,lait entier concentré sucré,milk,condensed milk,93,9,1923,923319027,923
172,172,9,lait,3,lait concentré ou en poudre,19054,lait écrémé en poudre,milk,condensed milk,93,9,1923,923319054,923
173,173,9,lait,4,autre lait,19200,lait de chèvre entier uht,milk,other milk,94,9,1924,924319200,924
174,174,9,lait,4,autre lait,39400,lait de poule sans alcool,milk,other milk,94,9,1924,924339400,924
175,175,9,lait,4,autre lait,92511,autre lait,milk,other milk,94,9,1924,924392511,924
176,176,10,ultra-frais laitier,1,crème fraîche,19401,crème fraîche ou crème de lait fluide au moins 30% m.g. rayon frais,ultra fresh dairy,fresh cream,101,10,11021,1021319401,1021
177,177,10,ultra-frais laitier,1,crème fraîche,19402,crème fraîche ou crème de lait sans précision,ultra fresh dairy,fresh cream,101,10,11021,1021319402,1021
178,178,10,ultra-frais laitier,1,crème fraîche,19410,crème fraîche ou crème de lait épaisse au moins 30% m.g. rayon frais,ultra fresh dairy,fresh cream,101,10,11021,1021319410,1021
179,179,10,ultra-frais laitier,1,crème fraîche,19415,crème fraîche ou crème de lait fluide au moins 30% m.g. uht,ultra fresh dairy,fresh cream,101,10,11021,1021319415,1021
180,180,10,ultra-frais laitier,1,crème fraîche,19420,crème chantilly sucrée sous pression uht,ultra fresh dairy,fresh cream,101,10,11021,1021319420,1021
181,181,10,ultra-frais laitier,1,crème fraîche,19430,crème fraîche ou crème de lait fluide allégée 15 à 20% m.g. uht,ultra fresh dairy,fresh cream,101,10,11021,1021319430,1021
182,182,10,ultra-frais laitier,1,crème fraîche,19431,crème fraîche ou crème de lait épaisse allégée 15 à 20% m.g. rayon frais,ultra fresh dairy,fresh cream,101,10,11021,1021319431,1021
183,183,10,ultra-frais laitier,1,crème fraîche,19433,spécialité à base de crème légère 8% m.g. type crème fluide ou épaisse,ultra fresh dairy,fresh cream,101,10,11021,1021319433,1021
